id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4626654481091928,Kbbp64A3K,【#郭美美被批捕#】4月16日，上海铁路运输检察院对郭某某、汪某某以涉嫌销售有毒、有害食品罪批准逮捕。澎湃新闻记者从检察机关获悉，郭某某系郭美美。一瞬间video的微博视频 ,,,"https://f.video.weibocdn.com/mJmDkWMdlx07LVXpCKDe010412003to60E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618578084&ssig=N%2B%2FjyxY%2FjE&KID=unistore,video",,2021-04-16,微博视频号,274,98,38,郭美美被批捕,
4626652372405190,KbblHa5Ho,你觉得#自费打工#算是职场pua吗？  网页链接 ,,,,,2021-04-16,微博 weibo.com,4281,55,11,自费打工,
4626647954752137,KbbezjWfn,【#景区抽打小猪做跳水表演# 工作人员：只是吓唬吓唬】4月16日，江苏盐城，有网友爆料盐都区杨侍生态园里，有工作人员拿鞭抽打动物，令其表演，引起观众围观，围观者中还有部分小孩。#景区回应抽打小猪做跳水表演#：这是园区的香猪跳水表演，它们养得太肥了，不好跳，就吓唬下它们，不是真的打，此表演已经持续一年多了。@沸点视频 沸点视频的微博视频,,,"https://f.video.weibocdn.com/RlkPFv6blx07LVSrLd8Y01041200pNEb0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618578057&ssig=QNeT5wjJI4&KID=unistore,video",,2021-04-16,微博视频号,12352,683,199,"景区抽打小猪做跳水表演,景区回应抽打小猪做跳水表演",沸点视频
4626642670191503,Kbb630NOL,【神人！#店员下跪磕头气走乞讨男子# 】#如何应对强行乞讨#4月14日，江苏徐州。一男子进店下跪要钱。店员跪下磕头将乞丐“气走”。目击者王先生表示，该男子进门后装乞丐，店员磕头将男子逗笑了，他就没再要钱，算是以其人之道还治其人之身。漩涡视频的微博视频 @漩涡视频 ,,,"https://f.video.weibocdn.com/7TWnjdwLlx07LVO3OYNq01041200WqFW0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618578076&ssig=iWp3Pc54EY&KID=unistore,video",,2021-04-16,微博视频号,575,92,44,"店员下跪磕头气走乞讨男子,如何应对强行乞讨",漩涡视频
4626638744323637,KbaZIi8M5,【#5年4次起诉离婚被拒女方再发声#：借钱纯属污蔑，男方伪造聊天记录】“借30万纯属污蔑！一个赌徒说的话能有多大可信度！”宁顺花不懂这个婚为什么就是离不掉，到底要怎么证明夫妻感情破裂，难道必须出轨有孩子才能证明吗？她说自己的离婚诉讼有点倒霉，每次遇到的都是同一个主审法官。而男方始终坚称：宁顺花的幸福只能由他来给...>>5年4次起诉离婚女方发声 不懂为什么就是离不掉,,,,,2021-04-16,微博发布平台专业版,782,85,36,5年4次起诉离婚被拒女方再发声,
4626632981349739,KbaQq5F7Z,【#女乘客发文感谢国航空姐的小纸条# ：身边老人造成不适，空姐写纸条相助】4月15日，有网友在社交平台上表示，她非常感谢#CA8647上的空姐#朱旭。网友称，她乘坐飞机时旁边坐着的老年人，给她造成很大困扰。在她感到非常焦灼时，空姐朱旭发现情况，多次帮助该网友。随后，空姐写纸条询问她是否需要换位置。最终，在空姐朱旭的协调下，她换到了机舱后面的空位。请给CA8647上的空姐朱旭加鸡腿！漩涡视频的微博视频 @漩涡视频,,,"https://f.video.weibocdn.com/LnSwx6Fqlx07LVPnyt7G01041200iIFz0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1618578075&ssig=bO3NgNLdZ%2F&KID=unistore,video",,2021-04-16,微博视频号,31261,729,297,"女乘客发文感谢国航空姐的小纸条,CA8647上的空姐",漩涡视频
4626631127205597,KbaNquevj,【爱情最美的样子  #七旬盲人奶奶照顾瘫痪爷爷9年#】河南新密，七旬盲人奶奶马桂云每天摸着墙壁，照顾患病在床的老伴，靠摸着老伴的嘴喂饭，为他擦身子。马奶奶自小双目失明，和老伴结婚51年，感情非常好。老伴脑梗后，因“怕子女照顾不周”，奶奶坚持亲自照顾9年。@大米Video  大米Video的微博视频 ,,,"https://f.video.weibocdn.com/Vm4PVKJxlx07LVtUSBjO01041200AX6t0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618578085&ssig=%2Bbu50856Wv&KID=unistore,video",,2021-04-16,微博视频号,323,29,24,七旬盲人奶奶照顾瘫痪爷爷9年,大米Video
4626625641317871,KbaEA5wPZ,【#患有血友病是怎样的体验#】“一碰就会碎的玻璃娃娃”血友病患者，向往蓝天的自由，但却连肆意奔跑都是奢望。为支付孩子昂贵药费一家人分散在同个城市的三个地方，家里唯一奢侈的电器，是存放孩子救命药的冰箱。如果不是血友病，“玻璃娃娃”也会有个快乐的童年。明天是#世界血友病日#，一起关注，了解他们的故事…血友病关怀计划 @微公益 陕西省慈善协会的微博视频,,,"https://f.video.weibocdn.com/zMDEaBm2lx07KIt28Dyo01041201Iocs0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BThihd3VLAY5R&Expires=1618578102&ssig=yYuCt9SrFx&KID=unistore,video",,2021-04-16,微博视频号,94,15,24,"患有血友病是怎样的体验,世界血友病日",微公益
4626622881466966,KbaA869CK,【#景区现女子给婆婆喂母乳雕塑#引争议 景区：老祖宗传承，年轻人可能不理解】4月16日，浙江湖州。营盘山景区，因女子给婆婆喂母乳的雕塑，引发网友热议。16日，景区负责人表示，这些雕塑讲的是古代二十四孝。给婆婆喂母乳的雕塑是24孝中的一孝，这是老祖宗一辈一辈传承下来的，现在的年轻人可能不理解。@漩涡视频 漩涡视频的微博视频,,,"https://f.video.weibocdn.com/dxikrDSUlx07LVJ2ROM8010412012tp20E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618578056&ssig=NXiqxCdk%2Fa&KID=unistore,video",,2021-04-16,微博视频号,14048,825,422,景区现女子给婆婆喂母乳雕塑,漩涡视频
4626617554966475,KbarxkQ0r,【#要求相亲对象年薪百万合理吗# ？】《你好另一半》中，在被问到对于另一半有什么要求时，嘉宾胡诗晨表示希望相亲对象能年薪百万，同时也希望未来的另一半能够在人脉和资源上帮到自己。但节目红娘金星@金星 随即对胡诗晨的要求表示否定。认为物质是个基础。目的性太强是很难找到真实的感情的。关于“要求相亲对象年薪百万”这个事，大家怎么看呢？ 头条新闻的微博视频,,,"https://f.video.weibocdn.com/ydU9xzknlx07LVLD0jnG01041200aJUI0E010.mp4?label=mp4_ld&template=636x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1618578070&ssig=jSiHY2lM6B&KID=unistore,video",,2021-04-16,微博视频号,3003,478,86,要求相亲对象年薪百万合理吗,金星
