id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4626610084647588,Kbafujv36,【姑娘真棒！#四川无腿女孩成功保研#】四川女孩黄欢4岁时因意外失去双腿，从此靠板凳“行走”。高考时，身残志坚的她以优异成绩考上四川师范大学。大学期间，她收获了“第七届大学生年度人物”、6次学习奖学金、2次国家励志奖学金，目前已成功保研到四川师范大学企业管理专业。中新视频的微博视频,,,"https://f.video.weibocdn.com/GhF3Yeielx07LVxggNBu01041202FctV0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BThihd3VLAY5R&Expires=1618573111&ssig=qudwOWnotN&KID=unistore,video",,2021-04-16,微博视频号,11169,810,764,四川无腿女孩成功保研,
4626599947539491,Kb9Z8vDmH,【珍贵史料！#李大钊生前唯一视频影像#】这是从俄罗斯保存的档案资料里查到的一段影片资料，也是目前仅存的李大钊生前唯一影像。在莫斯科国家大剧院，李大钊正激情澎湃地演讲，台下传来阵阵欢呼声和掌声。虽然很短，但让我们看到了当时李大钊的风采。（央视频）央视频的微博视频 ,,,"https://f.video.weibocdn.com/6QcG27SSlx07LVq7Rrtm01041200dvbv0E010.mp4?label=mp4_720p&template=662x486.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618573097&ssig=vyaiSaqp16&KID=unistore,video",,2021-04-16,微博视频号,139492,4124,14112,李大钊生前唯一视频影像,
4626590283338505,Kb9Jye0uR,【“少年感”十足！#教师爷爷唱少年表情萌翻#】河南大学老干部合唱团在演唱《少年》时，最边上的老爷爷跟随音乐舞动，动作到位、表情丰富，认真可爱的神态萌翻众人，当之无愧成为全场亮点。网友：他们曾经也是小可爱！人民视频的微博视频 ,,,"https://f.video.weibocdn.com/yZutl3eolx07LSexLzDG01041200uj3u0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BThihd3VLAY5R&Expires=1618573094&ssig=EwLLXq3RT3&KID=unistore,video",,2021-04-16,微博视频号,8336,707,797,教师爷爷唱少年表情萌翻,
4626581395869600,Kb9vdoCWY,【美如仙境！#航拍春雪后的九寨沟#】4月14日，四川阿坝九寨沟景区再次迎来春雪，盐粒般的雪粒逐渐变成鹅毛般的大雪，漫天飞舞。雪后的九寨，景区内海拔较高的长海、五彩池等景点再披银装。春雪蓬松，山雾氤氲，碧池清澈，一川素雪，银装素裹的九寨尽显妖娆。四川观察的微博视频 ,,,"https://f.video.weibocdn.com/002HyhVZgx07LUwQ8FXN01041200DOzY0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618573110&ssig=5l1KGW1E2O&KID=unistore,video",,2021-04-16,微博视频号,2738,537,618,航拍春雪后的九寨沟,
4626569446558589,Kb9bWrwbH,【#日官员回应不喝核废水#：#日官员称喝了核废水也不能证明安全性#】中国外交部发言人此前强烈批评日本核废水排海，对此，日本内阁官房长官加藤胜信回答提问时不愿直接回应，他只是再三强调，日本即将排放的废水辐射量，是世卫组织饮用水的七分之一。记者问及，日本副首相兼财务大臣麻生太郎此前说，这些废水喝了也没问题，加藤回应，虽然说法不同，但麻生的用意是指废水满足饮用水标准，但他不愿直接回答废水是否能喝，他说，就算喝了也不能科学说明废水的安全性，因此没必要这么做。凤凰网的微博视频,,,"https://f.video.weibocdn.com/nmdE0hQElx07LUFeHHIQ01041200vH9c0E010.mp4?label=mp4_720p&template=958x540.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=4ub7gI97adQ&Expires=1618573052&ssig=K%2BRnpoq4me&KID=unistore,video",,2021-04-16,微博视频号,176445,5796,3907,"日官员回应不喝核废水,日官员称喝了核废水也不能证明安全性",
4626558440966748,Kb8Uc43uI,【又一波！#78家非法社会组织公布#】民政部今日公布一批地方民政部门近年来依法取缔的部分非法社会组织名单，共计78家，包括“全国正义慈善联盟”“中国武警基金会”等。社会公众如发现名单中的非法社会组织仍在开展活动的，可依法向公安机关报案。也可通过“中国社会组织政务服务平台”（www.chinanpo.gov.cn)提供涉嫌非法社会组织活动线索。（人民日报记者李昌禹）,,https://wx3.sinaimg.cn/large/0033ImPzgy1gpldzr5qezj60m82fr1kx02.jpg,,,2021-04-16,微博 weibo.com,3267,465,885,78家非法社会组织公布,
4626547732384858,Kb8CVa0ps,【#2021一季度GDP同比增长18.3%#】国家统计局16日公布，一季度我国国内生产总值249310亿元，按可比价格计算，同比增长18.3%，比2020年四季度环比增长0.6%，比2019年一季度增长10.3%，两年平均增长5.0%。（人民日报记者陆娅楠） ,,https://wx1.sinaimg.cn/large/0033ImPzly1gplcr0xkc9j60m80zk7wh02.jpg,,,2021-04-16,微博 weibo.com,16122,2937,1177,2021一季度GDP同比增长18.3%,
4626537062859523,Kb8lIbZTl,【#第一份工作更该看重什么#？】又到求职季，#第一份工作该不该看重工资#总能引发讨论。职场前辈往往会告诫年轻人，找工作不要那么计较工资，更应该关注从第一份工作中能学到什么，但不少年轻人并不赞同这种观点，工作是为生存，哪有不看重工资的道理？第一份工作工资到底有多重要，从没有唯一答案。 第一份工作更该看重什么？,,,,,2021-04-16,微博 weibo.com,4120,720,470,"第一份工作更该看重什么,第一份工作该不该看重工资",
4626527846663091,Kb86QrXnd,【#俄罗斯回应美对俄实施制裁#：#俄罗斯称必将坚决回击美方侵略性行为#】美国白宫15日宣布制裁多个俄罗斯实体，并驱逐十名俄罗斯外交人员，以回应所谓俄罗斯干预美国总统选举、对美国企业和政府机构发动网络攻击。俄罗斯外交部发言人扎哈罗娃当天发出警告称，俄罗斯必将“坚决回击”美方“侵略性行为”。她说，美国不愿接受这个客观事实，就是在这个多极世界，美国不再享有霸权，还指望着施加制裁压力，干涉俄罗斯内政，这样的敌对行径将遭到坚决回击，（俄罗斯）对制裁的回击将不可避免，美国应该意识到，其必须为俄美关系的恶化付出代价。（央视） 人民日报的微博视频,,,"https://f.video.weibocdn.com/7Tzsn8zflx07LVngEkGc01041200Zw7N0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618573075&ssig=MaEKwFPhr5&KID=unistore,video",,2021-04-16,微博视频号,39899,1660,3118,"俄罗斯回应美对俄实施制裁,俄罗斯称必将坚决回击美方侵略性行为",
4626519933061348,Kb7U5cQoA,【看见真实的新疆！#80分钟新疆生活纪录片#天山南北】24个鲜活的人物，17段生动的故事。他们热爱家园、追求梦想、和谐共居。在润物无声中驳斥谬论，用真实故事打破偏见误读。《天山南北——中国新疆生活纪实》带你看见新疆各族群众的真实生活↓↓#中国新疆生活纪实天山南北#CGTN的微博视频 ,,,"https://f.video.weibocdn.com/gEcusaoRlx07LUCbcXwI0104120DsD6k0E0e0.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618573055&ssig=aN28Prh5Sa&KID=unistore,video",,2021-04-16,微博视频号,9477,803,3643,"80分钟新疆生活纪录片,中国新疆生活纪实天山南北",
4626513956177284,Kb7KrpUZC,【扩散提醒！#五一火车票明起开抢#】按照目前全国铁路车票预售期15天的规定，4月16日起，旅客可购买4月30日的火车票。4月17日则正式开抢5月1日的火车票。据铁路部门预计，五一假期主要以中短途旅游、探亲、学生客流为主，节日期间车票将会比较紧张。小长假即将来临，想要出行的你，记得提前购票！ ,,https://wx1.sinaimg.cn/large/0033ImPzgy1gpl8vyq7jjj60j615h77z02.jpg,,,2021-04-16,微博 weibo.com,12240,1732,1031,五一火车票明起开抢,
